State,County,Year,number,percent,lower confidence limit,upper confidence limit,age-adjusted percent,age-adjusted lower confidence limit,age-adjusted upper confidence limit
Alabama,Autauga County,2013,13513,34.1,29,39.3,33.8,28.7,39.2
Alabama,Baldwin County,2013,40365,27.4,24.8,30.5,27.2,24.3,30.6
Alabama,Barbour County,2013,9186,44.4,38.4,50.4,44.7,38.5,51.1
Alabama,Bibb County,2013,6940,40.3,34.1,46.9,40.3,33.9,47.1
Alabama,Blount County,2013,14768,34.6,29.3,40.2,34.9,29.2,40.5
Alabama,Bullock County,2013,3482,43,34.5,52,42.8,34.2,52
Alabama,Butler County,2013,5481,36.3,30.4,42.1,36.6,30.4,42.7
Alabama,Calhoun County,2013,28209,32.2,28.7,35.9,32.2,28.6,36.2
Alabama,Chambers County,2013,10338,39.7,33.6,45.9,40,33.6,46.8
Alabama,Cherokee County,2013,6771,33.6,27.6,40.1,33.9,27.6,41
Alabama,Chilton County,2013,11580,35.9,29.8,42.1,36,29.8,42.7
Alabama,Choctaw County,2013,4207,40.8,35.4,46.2,41.1,35.3,47
Alabama,Clarke County,2013,7157,38.2,32.7,44,38.3,32.4,44.5
Alabama,Clay County,2013,3841,37.3,30.8,44.2,37.7,30.7,44.8
Alabama,Cleburne County,2013,3379,30,23.7,37.7,30.2,23.6,38.3
Alabama,Coffee County,2013,12725,33.7,28.6,39.2,33.7,28.4,39.4
Alabama,Colbert County,2013,15526,37.5,33.3,41.8,37.8,33.3,42.2
Alabama,Conecuh County,2013,3558,36.4,30,43,36.7,29.8,44.1
Alabama,Coosa County,2013,3474,39.7,32.6,47.6,39.8,32.4,48.3
Alabama,Covington County,2013,9794,34,28.7,40,34.5,28.8,41.1
Alabama,Crenshaw County,2013,4136,39.7,32.8,46.1,40.1,32.8,47
Alabama,Cullman County,2013,20319,33.4,28.2,38.5,33.7,28.3,39.4
Alabama,Dale County,2013,13467,36.5,31.7,41.7,36.6,31.5,42
Alabama,Dallas County,2013,12329,40.8,36.8,44.8,40.8,36.4,45.2
Alabama,DeKalb County,2013,15728,30.4,26,35.1,30.5,25.8,35.4
Alabama,Elmore County,2013,21240,35.4,30.7,40.4,35.2,30.5,40.5
Alabama,Escambia County,2013,10798,37.7,33.4,41.9,37.8,33.2,42.4
Alabama,Etowah County,2013,27501,35.1,31.4,39.3,35.2,31.3,39.6
Alabama,Fayette County,2013,4332,33.7,27.8,40.1,33.9,27.5,41
Alabama,Franklin County,2013,7669,33.2,27.8,38.9,33.3,27.7,39.3
Alabama,Geneva County,2013,6899,34.1,28.3,40.5,34.3,28,41.1
Alabama,Greene County,2013,2996,46.3,39,53.5,46.4,38.7,54.2
Alabama,Hale County,2013,4574,40.4,34.7,46.8,40.3,34.2,47.2
Alabama,Henry County,2013,4714,35.8,29.8,41.9,36.1,29.7,42.7
Alabama,Houston County,2013,25127,32.8,29.5,36.3,32.7,29.3,36.4
Alabama,Jackson County,2013,12867,32,26.1,38.3,32.1,25.8,38.9
Alabama,Jefferson County,2013,162871,33.2,31.4,35.2,33,31,35
Alabama,Lamar County,2013,3631,33.6,27.5,39.6,34,27.5,40.7
Alabama,Lauderdale County,2013,23238,32.9,29,36.7,33,28.9,37.1
Alabama,Lawrence County,2013,9042,35.5,29.6,42.2,35.4,29.1,42.5
Alabama,Lee County,2013,32202,29,24.8,33.2,29,25,33.1
Alabama,Limestone County,2013,21768,32.9,28,37.7,32.6,27.6,37.6
Alabama,Lowndes County,2013,3590,45.1,38.2,51.6,45.3,38,52.5
Alabama,Macon County,2013,6657,44.7,37,52.7,44.8,36.8,53.1
Alabama,Madison County,2013,83482,32.3,29.6,35.3,32.2,29.3,35.2
Alabama,Marengo County,2013,6056,40.3,35.4,45.5,40.5,35.2,46.1
Alabama,Marion County,2013,8272,35.5,30.3,41.3,36.1,30.5,42.5
Alabama,Marshall County,2013,22945,33.2,28.1,38.4,33.4,28,38.7
Alabama,Mobile County,2013,112714,37.1,34.8,39.5,37.2,34.8,39.7
Alabama,Monroe County,2013,5773,35.3,29.2,42.1,35.3,28.8,42.1
Alabama,Montgomery County,2013,57641,34.8,31.6,38.2,34.6,31.3,38.1
Alabama,Morgan County,2013,28255,31.6,27.1,36.3,31.5,26.8,36.3
Alabama,Perry County,2013,3053,43,36.5,49.3,43.4,36.5,50
Alabama,Pickens County,2013,5349,36.4,30.8,42.1,36.4,30.5,42.4
Alabama,Pike County,2013,9668,38.4,32.9,44.4,38.6,33.1,44.6
Alabama,Randolph County,2013,5246,30.9,25.6,36.8,31,25.2,37.4
Alabama,Russell County,2013,15684,36.4,30.1,42.3,36.2,29.8,42.1
Alabama,St. Clair County,2013,21299,33,28.7,37.7,33,28.4,37.9
Alabama,Shelby County,2013,44775,30.1,26.8,33.5,29.8,26.4,33.3
Alabama,Sumter County,2013,4041,40.3,34.1,46.6,40.3,33.7,46.7
Alabama,Talladega County,2013,23848,39,35.1,43.3,39.1,35,43.6
Alabama,Tallapoosa County,2013,11637,36.9,32.5,41.4,37.3,32.4,42.1
Alabama,Tuscaloosa County,2013,50708,34.3,31.7,37,34.2,31.6,36.9
Alabama,Walker County,2013,16546,33.2,29.2,37.2,33.3,28.9,37.7
Alabama,Washington County,2013,5056,40.2,33.7,47,40.4,33.5,47.6
Alabama,Wilcox County,2013,3635,44.9,38.8,51.6,45.4,38.6,52.5
Alabama,Winston County,2013,5614,30.2,24.6,36.2,30.2,24.3,36.8
Alaska,Aleutians East Borough,2013,973,33.4,26.9,40.9,33.1,26.6,40.3
Alaska,Aleutians West,2013,1911,39.4,32.7,46,38.7,32.3,45.1
Alaska,Anchorage Municipality,2013,58753,27,25.3,28.6,26.8,25.2,28.5
Alaska,Bethel Census Area,2013,3292,30.3,26.1,34.7,30.3,26.2,34.7
Alaska,Bristol Bay Borough,2013,287,39.7,32.9,47.1,39,32.2,46.8
Alaska,Denali Borough,2013,411,27,21.5,33.1,26.1,20.9,32.1
Alaska,Dillingham Census Area,2013,1220,38,31.8,43.9,37.7,31.6,43.7
Alaska,Fairbanks North Star,2013,20644,28.1,26.1,30.3,28.2,26.2,30.3
Alaska,Haines Borough,2013,512,25.5,19.9,31.4,24.3,18.8,30.6
Alaska,Hoonah-Angoon 2009 Census,2013,533,31.8,25,39.3,31.1,24,39
Alaska,Juneau City and Borough,2013,6987,28.6,25.7,31.7,28.2,25.3,31.2
Alaska,Kenai Peninsula Borough,2013,12045,28.4,26,30.9,27.8,25.3,30.5
Alaska,Ketchikan Gateway Borough,2013,3160,30.8,26.3,35.2,30.2,25.7,34.8
Alaska,Kodiak Island Borough,2013,3023,30.2,25.3,35.2,30,25.2,34.8
Alaska,Lake and Peninsula Borough,2013,358,31.9,25.5,38.5,31.7,25.3,38.2
Alaska,Matanuska-Susitna Borough,2013,20244,30.2,28.1,32.3,29.7,27.5,31.9
Alaska,Nome Census Area,2013,1966,31.7,27,36.8,31.5,26.8,36.5
Alaska,North Slope Borough,2013,2577,36.5,30.7,42.8,36,30.3,42.1
Alaska,Northwest Arctic Borough,2013,1537,32.4,26.7,38.1,32.4,26.8,37.9
Alaska,Petersburg 2009 Census,2013,739,30.5,24.6,37.1,29.9,23.9,36.6
Alaska,Prince of Wales-Hyder 2009 Census,2013,1648,35.2,29.1,41.4,34.8,28.5,41.1
Alaska,Prince of Wales-Outer K 2004 to 2008 Census,2013,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Alaska,Sitka City and Borough,2013,1941,28.7,24.1,33.8,28.3,23.6,33.6
Alaska,Skagway Municipality 2009 Census,2013,243,28.1,20.7,35.8,27.6,20.1,35.2
Alaska,Hoonah-Angoon 2004 to 2008 Census,2013,No Data,No Data,No Data,No Data,No Data,No Data,No Data
Alaska,Southeast Fairbanks Census,2013,1666,33.1,28.6,38,32.6,28,37.6
Alaska,Valdez-Cordova Census Area,2013,2157,30.4,25.8,35.7,29.7,25,34.9
Alaska,Wade Hampton Census Area,2013,1427,32.6,26.4,39,32.3,26.4,39
