Primary,State,County,Year,percent
1,Alabama,Autauga County,2013,34.1
2,Alabama,Baldwin County,2013,27.4
3,Alabama,Barbour County,2013,44.4
4,Alabama,Bibb County,2013,40.3
5,Alabama,Blount County,2013,34.6
6,Alabama,Bullock County,2013,43
7,Alabama,Butler County,2013,36.3
8,Alabama,Calhoun County,2013,32.2
9,Alabama,Chambers County,2013,39.7
10,Alabama,Cherokee County,2013,33.6
11,Alabama,Chilton County,2013,35.9
12,Alabama,Choctaw County,2013,40.8
13,Alabama,Clarke County,2013,38.2
14,Alabama,Clay County,2013,37.3
15,Alabama,Cleburne County,2013,30
16,Alabama,Coffee County,2013,33.7
17,Alabama,Colbert County,2013,37.5
18,Alabama,Conecuh County,2013,36.4
19,Alabama,Coosa County,2013,39.7
20,Alabama,Covington County,2013,34
21,Alabama,Crenshaw County,2013,39.7
22,Alabama,Cullman County,2013,33.4
23,Alabama,Dale County,2013,36.5
24,Alabama,Dallas County,2013,40.8
25,Alabama,DeKalb County,2013,30.4
26,Alabama,Elmore County,2013,35.4
27,Alabama,Escambia County,2013,37.7
28,Alabama,Etowah County,2013,35.1
29,Alabama,Fayette County,2013,33.7
30,Alabama,Franklin County,2013,33.2
31,Alabama,Geneva County,2013,34.1
32,Alabama,Greene County,2013,46.3
33,Alabama,Hale County,2013,40.4
34,Alabama,Henry County,2013,35.8
35,Alabama,Houston County,2013,32.8
36,Alabama,Jackson County,2013,32
37,Alabama,Jefferson County,2013,33.2
38,Alabama,Lamar County,2013,33.6
39,Alabama,Lauderdale County,2013,32.9
40,Alabama,Lawrence County,2013,35.5
41,Alabama,Lee County,2013,29
42,Alabama,Limestone County,2013,32.9
43,Alabama,Lowndes County,2013,45.1
44,Alabama,Macon County,2013,44.7
45,Alabama,Madison County,2013,32.3
46,Alabama,Marengo County,2013,40.3
47,Alabama,Marion County,2013,35.5
48,Alabama,Marshall County,2013,33.2
49,Alabama,Mobile County,2013,37.1
50,Alabama,Monroe County,2013,35.3
51,Alabama,Montgomery County,2013,34.8
52,Alabama,Morgan County,2013,31.6
53,Alabama,Perry County,2013,43
54,Alabama,Pickens County,2013,36.4
55,Alabama,Pike County,2013,38.4
56,Alabama,Randolph County,2013,30.9
57,Alabama,Russell County,2013,36.4
58,Alabama,St. Clair County,2013,33
59,Alabama,Shelby County,2013,30.1
60,Alabama,Sumter County,2013,40.3
61,Alabama,Talladega County,2013,39
62,Alabama,Tallapoosa County,2013,36.9
63,Alabama,Tuscaloosa County,2013,34.3
64,Alabama,Walker County,2013,33.2
65,Alabama,Washington County,2013,40.2
66,Alabama,Wilcox County,2013,44.9
67,Alabama,Winston County,2013,30.2
68,Alaska,Aleutians East Borough,2013,33.4
69,Alaska,Aleutians West,2013,39.4
70,Alaska,Anchorage Municipality,2013,27
71,Alaska,Bethel Census Area,2013,30.3
72,Alaska,Bristol Bay Borough,2013,39.7
73,Alaska,Denali Borough,2013,27
74,Alaska,Dillingham Census Area,2013,38
75,Alaska,Fairbanks North Star,2013,28.1
76,Alaska,Haines Borough,2013,25.5
77,Alaska,Hoonah-Angoon 2009 Census,2013,31.8
78,Alaska,Juneau City and Borough,2013,28.6
79,Alaska,Kenai Peninsula Borough,2013,28.4
80,Alaska,Ketchikan Gateway Borough,2013,30.8
81,Alaska,Kodiak Island Borough,2013,30.2
82,Alaska,Lake and Peninsula Borough,2013,31.9
83,Alaska,Matanuska-Susitna Borough,2013,30.2
84,Alaska,Nome Census Area,2013,31.7
85,Alaska,North Slope Borough,2013,36.5
86,Alaska,Northwest Arctic Borough,2013,32.4
87,Alaska,Petersburg 2009 Census,2013,30.5
88,Alaska,Prince of Wales-Hyder 2009 Census,2013,35.2
89,Alaska,Prince of Wales-Outer K 2004 to 2008 Census,2013,No Data
90,Alaska,Sitka City and Borough,2013,28.7
91,Alaska,Skagway Municipality 2009 Census,2013,28.1
92,Alaska,Hoonah-Angoon 2004 to 2008 Census,2013,No Data
93,Alaska,Southeast Fairbanks Census,2013,33.1
94,Alaska,Valdez-Cordova Census Area,2013,30.4
95,Alaska,Wade Hampton Census Area,2013,32.6
96,Alaska,Wrangell City and Borough 2009 Census,2013,30.6
97,Alaska,Wrangell-Petersburg 2004 to 2008 Census,2013,No Data
98,Alaska,Yakutat City and Borough,2013,31.3
99,Alaska,Yukon-Koyukuk Census Area,2013,28.3
100,Arizona,Apache County,2013,35.2
101,Arizona,Cochise County,2013,26
102,Arizona,Coconino County,2013,23.2
103,Arizona,Gila County,2013,27.5
104,Arizona,Graham County,2013,32.5
105,Arizona,Greenlee County,2013,34.7
106,Arizona,La Paz County,2013,32
107,Arizona,Maricopa County,2013,25.4
108,Arizona,Mohave County,2013,29.6
109,Arizona,Navajo County,2013,30.9
110,Arizona,Pima County,2013,24.2
111,Arizona,Pinal County,2013,31.6
112,Arizona,Santa Cruz County,2013,23
113,Arizona,Yavapai County,2013,25.3
114,Arizona,Yuma County,2013,30.5
115,Arkansas,Arkansas County,2013,33.8
116,Arkansas,Ashley County,2013,42.1
117,Arkansas,Baxter County,2013,32.3
118,Arkansas,Benton County,2013,30.1
119,Arkansas,Boone County,2013,33.9
120,Arkansas,Bradley County,2013,39
121,Arkansas,Calhoun County,2013,34.2
122,Arkansas,Carroll County,2013,35.8
123,Arkansas,Chicot County,2013,43.1
124,Arkansas,Clark County,2013,34.3
125,Arkansas,Clay County,2013,33.7
126,Arkansas,Cleburne County,2013,31.8
127,Arkansas,Cleveland County,2013,35.7
128,Arkansas,Columbia County,2013,36.4
129,Arkansas,Conway County,2013,39.7
130,Arkansas,Craighead County,2013,36.4
131,Arkansas,Crawford County,2013,35.1
132,Arkansas,Crittenden County,2013,38.8
133,Arkansas,Cross County,2013,37.9
134,Arkansas,Dallas County,2013,36.2
135,Arkansas,Desha County,2013,39.6
136,Arkansas,Drew County,2013,34.3
137,Arkansas,Faulkner County,2013,33.2
138,Arkansas,Franklin County,2013,37.1
139,Arkansas,Fulton County,2013,32.9
140,Arkansas,Garland County,2013,32.3
141,Arkansas,Grant County,2013,38.3
142,Arkansas,Greene County,2013,31.2
143,Arkansas,Hempstead County,2013,40.3
144,Arkansas,Hot Spring County,2013,34.7
145,Arkansas,Howard County,2013,35.7
146,Arkansas,Independence County,2013,37.2
147,Arkansas,Izard County,2013,33.9
148,Arkansas,Jackson County,2013,37.2
149,Arkansas,Jefferson County,2013,40.7
150,Arkansas,Johnson County,2013,36.4
151,Arkansas,Lafayette County,2013,36.3
152,Arkansas,Lawrence County,2013,31.8
153,Arkansas,Lee County,2013,35.7
154,Arkansas,Lincoln County,2013,37.5
155,Arkansas,Little River County,2013,32.7
156,Arkansas,Logan County,2013,37.5
157,Arkansas,Lonoke County,2013,35.8
158,Arkansas,Madison County,2013,34
159,Arkansas,Marion County,2013,31.7
160,Arkansas,Miller County,2013,35.9
161,Arkansas,Mississippi County,2013,39.8
162,Arkansas,Monroe County,2013,37.5
163,Arkansas,Montgomery County,2013,33.8
164,Arkansas,Nevada County,2013,36
165,Arkansas,Newton County,2013,34.2
166,Arkansas,Ouachita County,2013,34.8
167,Arkansas,Perry County,2013,37.5
168,Arkansas,Phillips County,2013,45.5
169,Arkansas,Pike County,2013,37.8
170,Arkansas,Poinsett County,2013,38.4
171,Arkansas,Polk County,2013,36.7
172,Arkansas,Pope County,2013,32.1
173,Arkansas,Prairie County,2013,36.3
174,Arkansas,Pulaski County,2013,31.7
175,Arkansas,Randolph County,2013,35.3
176,Arkansas,St. Francis County,2013,42.5
177,Arkansas,Saline County,2013,32.5
178,Arkansas,Scott County,2013,32.5
179,Arkansas,Searcy County,2013,35
180,Arkansas,Sebastian County,2013,36.9
181,Arkansas,Sevier County,2013,36.7
182,Arkansas,Sharp County,2013,37.3
183,Arkansas,Stone County,2013,32.6
184,Arkansas,Union County,2013,39.4
185,Arkansas,Van Buren County,2013,35.6
186,Arkansas,Washington County,2013,30.6
