State,County,percent,Poverty
Alabama,Autauga County,34.1,12.9
Alabama,Baldwin County,27.4,13.4
Alabama,Barbour County,44.4,26.7
Alabama,Bibb County,40.3,16.8
Alabama,Blount County,34.6,16.7
Alabama,Bullock County,43,24.6
Alabama,Butler County,36.3,25.4
Alabama,Calhoun County,32.2,20.5
Alabama,Chambers County,39.7,21.6
Alabama,Cherokee County,33.6,19.2
Alabama,Chilton County,35.9,19.1
Alabama,Choctaw County,40.8,23.4
Alabama,Clarke County,38.2,24.7
Alabama,Clay County,37.3,16.7
Alabama,Cleburne County,30,17
Alabama,Coffee County,33.7,17.1
Alabama,Colbert County,37.5,17.4
Alabama,Conecuh County,36.4,33.8
Alabama,Coosa County,39.7,19.3
Alabama,Covington County,34,20.2
Alabama,Crenshaw County,39.7,16.7
Alabama,Cullman County,33.4,18.5
Alabama,Dale County,36.5,19.1
Alabama,Dallas County,40.8,35
Alabama,DeKalb County,30.4,18.7
Alabama,Elmore County,35.4,13.6
Alabama,Escambia County,37.7,24.2
Alabama,Etowah County,35.1,19.7
Alabama,Fayette County,33.7,18.3
Alabama,Franklin County,33.2,22.5
Alabama,Geneva County,34.1,23.2
Alabama,Greene County,46.3,40.2
Alabama,Hale County,40.4,26.8
Alabama,Henry County,35.8,15.6
Alabama,Houston County,32.8,18.3
Alabama,Jackson County,32,18
Alabama,Jefferson County,33.2,18.8
Alabama,Lamar County,33.6,24.1
Alabama,Lauderdale County,32.9,17.9
Alabama,Lawrence County,35.5,18.7
Alabama,Lee County,29,23.8
Alabama,Limestone County,32.9,14.3
Alabama,Lowndes County,45.1,28.5
Alabama,Macon County,44.7,25.9
Alabama,Madison County,32.3,13.7
Alabama,Marengo County,40.3,26.1
Alabama,Marion County,35.5,20.1
Alabama,Marshall County,33.2,20.2
Alabama,Mobile County,37.1,19.3
Alabama,Monroe County,35.3,31.4
Alabama,Montgomery County,34.8,22.6
Alabama,Morgan County,31.6,16.1
Alabama,Perry County,43,36.4
Alabama,Pickens County,36.4,25
Alabama,Pike County,38.4,26.1
Alabama,Randolph County,30.9,20.4
Alabama,Russell County,36.4,21
Alabama,St. Clair County,33,16
Alabama,Shelby County,30.1,8.3
Alabama,Sumter County,40.3,42.7
Alabama,Talladega County,39,23
Alabama,Tallapoosa County,36.9,22.5
Alabama,Tuscaloosa County,34.3,19.1
Alabama,Walker County,33.2,22.5
Alabama,Washington County,40.2,19.1
Alabama,Wilcox County,44.9,37.7
Alabama,Winston County,30.2,21.9
Alaska,Aleutians East Borough,33.4,16.8
Alaska,Aleutians West,39.4,9.1
Alaska,Anchorage Municipality,27,8.2
Alaska,Bethel Census Area,30.3,25.2
Alaska,Bristol Bay Borough,39.7,7.2
Alaska,Denali Borough,27,12.7
Alaska,Dillingham Census Area,38,18.1
Alaska,Fairbanks North Star,28.1,8.1
Alaska,Haines Borough,25.5,5.3
Alaska,Hoonah-Angoon 2009 Census,31.8,11.9
Alaska,Juneau City and Borough,28.6,6.6
Alaska,Kenai Peninsula Borough,28.4,10
Alaska,Ketchikan Gateway Borough,30.8,12.1
Alaska,Kodiak Island Borough,30.2,11.3
Alaska,Lake and Peninsula Borough,31.9,33.3
Alaska,Matanuska-Susitna Borough,30.2,16.8
Alaska,Nome Census Area,31.7,10
Alaska,North Slope Borough,36.5,27
Alaska,Northwest Arctic Borough,32.4,10.2
Alaska,Petersburg 2009 Census,30.5,23.8
Alaska,Prince of Wales-Hyder 2009 Census,35.2,10.2
Alaska,Sitka City and Borough,28.7,14.6
Alaska,Skagway Municipality 2009 Census,28.1,9
Alaska,Southeast Fairbanks Census,33.1,4.4
Alaska,Valdez-Cordova Census Area,30.4,14.5
Alaska,Wade Hampton Census Area,32.6,10.9
Alaska,Wrangell City and Borough 2009 Census,30.6,11.8
Alaska,Yakutat City and Borough,31.3,5.4
Alaska,Yukon-Koyukuk Census Area,28.3,22.4
Arizona,Apache County,35.2,36.6
Arizona,Cochise County,26,17.9
Arizona,Coconino County,23.2,22.7
Arizona,Gila County,27.5,22.7
Arizona,Graham County,32.5,22.6
Arizona,Greenlee County,34.7,13.7
Arizona,La Paz County,32,19.1
Arizona,Maricopa County,25.4,17
Arizona,Mohave County,29.6,19.8
Arizona,Navajo County,30.9,30.6
Arizona,Pima County,24.2,19.3
Arizona,Pinal County,31.6,17.3
Arizona,Santa Cruz County,23,23.5
Arizona,Yavapai County,25.3,16
Arizona,Yuma County,30.5,20.7
